,text,label
0,181125 이히히히힣힠        대놓고 자랑중입니다    프라엘 남편최고,0
1, 구서방 자꾸왜이래 고맙게시리 피부나이 20대로 살고싶은 내나이 30대중반 관리잘하고 잘쓸께    왜이리 잘 해주실까나      우린부부 이럴땐사랑가득 주말 통큰아빠 프라엘 토탈리프트업케어 다음번에는 마스크까지 기대합니다 프라다 프라다지갑,0
2, 하루 9분투자를 못해 방치만 하고 있네 오늘부터 부지런히 사용해보자 프라엘 프라엘led마스크 lg프라엘 이나영마스크 드라마틱한효과 는 없겠지 그러나 안하는거보단낫겠지   관리만이살길 샤방샤방 피부를 위해 맞팔선팔환영 좋아요그램 인친환영 l4l f4follow beautystagram 뷰티스타그램 뷰티아이템 뷰티템 ,0
3, 센스쟁이 화이트데이 육아 소통 일상 셀카 셀피 셀스타그램 경산 구미 대구맘 대구 엘지프라엘 프라엘 럽스타그램 젊줌마 아들맘 led마스크 아들스타그램 데일리 스냅 육아소통 데일리룩 tour selfie instagood instadaily insta superfankids instakids 키즈모델 좋아요,0
4, LG 프라엘 두부처럼 모태미녀가 아니라서 중력을 거스르려는 헛된 욕심 효과를 바래봐요 프라엘 헛된욕심 돈지랄 두부 예쁜시츄 시츄 강아지 반려견 애견 펫 일상 멍멍이 댕댕이 인스타독 멍스타그램 독스타그램 개스타그램 시츄스타그램 펫스타그램 도그스타그램 견스타그램 강아지그램 시츄는사랑입니다 shihtzu 세젤귀,0
5, 생일선물 예전부터 살까말까 고민 하고 미뤘는데 남편님이 생일선물로 사주심 프라엘 led마스크 여보고마워 일상기록 정우기록 육아소통 육아맞팔,0
6, 오늘의 타임특가 꾸준히 사랑받는 스테디셀러의 특별한 하루특가 지금 네이버에 W컨셉 치고 타임특가를 만나보세요 옆으로 넘겨서 오늘의 타임특가 확인하기 wconcept W컨셉 타임특가 오늘의타임특가 구카 로서울 클리프 프라엘 스터디셀러,1
7, 딱 5시간 오늘의 타임특가 폴인데이에서만 만날 수 있는 특별한 특가 오늘의 타임특가 넘겨서 확인해보세요 W컨셉 폴인데이 검색하고 더 많은 타임특가도 확인 wconcept W컨셉 폴인데이 타임특가 블라우스 가디건 프라엘 어반디케이,1
8, Kim Hee Jung 모든 여자들의 숙제인것 같아요 마뷰텔 김희정 초음파클렌저 프라엘 KimHeeJung 배우 배우김희정 쇼핑 편집샵 선크림 데일리 데일리룩 데일리메이크업 메이크업 오일 스킨 모닝루틴 나이트케어 나이트루틴 클렌징 클렌징디바이스 디바이스 선크림 스킨 에센스 메이크업쿠션 쿠션 편집샵쇼핑 인터뷰 배우 트렌드세터 트렌드,0
9,      lgpral 5th EVENT 코어탄력을 세우는 LG프라엘 공식판매처 알로이비즈 입니다 6월 스페셜 이벤트 이번달에는 좀 늦었네요 이 게시글에 댓글과 함께 친구를 태그 해주세요 추첨을 통해 프라엘 레꼴뜨 믹서기 레꼴뜨 스마일베이커미니 메디힐 마스크팩을 선물로 드립니다 참여방법 lgpral 팔로우 꾸욱 이벤트 게시글 좋아요 누르고 친구 태그와 함께 댓글 남기기 리그램 하신 후에 엘지프라엘 알로이비즈 프라엘 lg프라엘 이벤트 인스타이벤트 선물이벤트 선물증정 등 해시태그 달기 Tip 지인 태그 여러명 하시면 당첨확률 UP 증정선물 레꼴뜨 미니믹서기 솔렌 2명 색상랜덤 레꼴뜨 스마일베이커미니 2명 색상랜덤 메디힐 마스크팩 10매 8명 종류랜덤 이벤트 기간 62673 당첨자 발표 711 목 당첨자 수 12명 선물 증정은 당첨자 발표 후 다음날 발송해 드립니다 궁금하신 점은 언제든지 DM으로 문의 주세요 2019년엔프라엘로더욱아름다워지세요 LG프라엘 풀세트하나면 내일더예쁨예약 프라엘 엘지프라엘 lg프라엘 led마스크 프라엘마스크 피부관리 lg프라엘더마led마스크 lg프라엘마스크 엘지프라엘더마led마스크 이나영마스크 이나영 뷰티디바이스 뷰티 리그램이벤트 리그램 선물이벤트 경품이벤트,1
10,    lgpral 4th EVENT 코어탄력을 세우는 LG프라엘 공식판매처 알로이비즈 입니다 5월 스페셜 이벤트 이 게시글에 댓글과 함께 친구를 태그 해주세요 추첨을 통해 프라엘 듀얼모션클렌저 레꼴뜨 스마일베이커미니 메디힐 마스크팩을 선물로 드립니다 참여방법 lgpral 팔로우 꾸욱 이벤트 게시글 좋아요 누르고 친구 태그와 함께 댓글 남기기 리그램 하신 후에 엘지프라엘 알로이비즈 프라엘 lg프라엘 이벤트 인스타이벤트 선물이벤트 선물증정 등 해시태그 달기 Tip 지인 태그 여러명 하시면 당첨확률 UP 증정선물 프라엘 듀얼모션클렌저 1명 색상랜덤 레꼴뜨 스마일베이커미니 2명 색상랜덤 메디힐 마스크팩 10매 8명 종류랜덤 이벤트 기간 517527 당첨자 발표 67 금 당첨자 수 11명 선물 증정은 당첨자 발표 후 다음날 발송해 드립니다 궁금하신 점은 언제든지 DM으로 문의 주세요 2019년엔프라엘로더욱아름다워지세요 LG프라엘 풀세트하나면 내일더예쁨예약 프라엘 엘지프라엘 lg프라엘 led마스크 프라엘마스크 피부관리 llg프라엘마스크 엘지프라엘더마led마스크 이나영마스크 이나영 뷰티디바이스 이벤트 리그램이벤트 리그램 선물이벤트 경품이벤트,1
11,    lgpral 3rd EVENT 코어탄력을 세우는 LG프라엘 공식판매처 알로이비즈 입니다 4월 스페셜 이벤트 이 게시글에 댓글과 함께 친구를 태그 해주세요 추첨을 통해 프라엘 듀얼모션클렌저 레꼴뜨 샌드위치메이커 메디힐 마스크팩을 선물로 드립니다 참여방법 lgpral 팔로우 꾸욱 이벤트 게시글 좋아요 누르고 친구 태그와 함께 댓글 남기기 리그램 하신 후에 엘지프라엘 알로이비즈 프라엘 lg프라엘 이벤트 인스타이벤트 선물이벤트 선물증정 등 해시태그 달기 Tip 지인 태그 여러명 하시면 당첨확률 UP 증정선물 프라엘 듀얼모션클렌저 1명 색상랜덤 레꼴뜨 샌드위치메이커 2명 색상랜덤 메디힐 마스크팩 10매 8명 종류랜덤 이벤트 기간 419428 당첨자 발표 57 화 당첨자 수 11명 선물 증정은 당첨자 발표 후 다음날 발송해 드립니다 궁금하신 점은 언제든지 DM으로 문의 주세요 2019년엔프라엘로더욱아름다워지세요 LG프라엘 풀세트하나면 내일더예쁨예약 프라엘 엘지프라엘 lg프라엘 led마스크 프라엘마스크 피부관리 lg프라엘더마led마스크 lg프라엘마스크 엘지프라엘더마led마스크 이나영마스크 이나영 뷰티디바이스 뷰티 이벤트 리그램이벤트 리그램 경품이벤트,1
12,    ateccn 티비온 라이브 소문내기 이벤트 4월 16일화 2200 2300 딱 한 시간 동안 LG프라엘과 티몬과 만나 몬스터딜 티비온 라이브를 진행 합니다 몬스터딜은 하루동안 파격 할인 혜택을 드리고 라이브 방송 1시간 동안에는 추가 할인 혜택과 특별한 사은품을 제공할 예정 입니다 이런 좋은 정보를 알려드리기 위해 LG프라엘 공식 판매점 에이텍씨앤 에서는 소문내기 이벤트를 진행합니다 이벤트 참여 방법 3가지 중 택1 1 인스타그램 인스타그램 ATECCN 팔로우 후 이벤트 게시물 리그램 태그 엘지프라엘 프라엘마스크 티몬티비온 한 뒤 아래에 댓글을 남겨주세요 2 네이버블로그httpsblog naver comateccn이웃 추가 후 네이버 블로그에 스크랩한 URL 댓글 남기기 3 카카오톡 엘지프라엘 이벤트 게시물 공유 인증샷 전송 후 댓글 남기기 추첨 사은품 LG전자 블루투스 스피커 PH3 10명 LG 생활건강 THE BEST 39호 10명 스타벅스 아이스아메리카노기프티콘 20명 이벤트기간 당첨자 발표 4월12일4월17일 4월 29일월 해당 이벤트는 3개채널에서 공동 추첨 진행되며 당첨자 발표 후 DM으로 별도 연락드릴 예정입니다 리그램 프라엘 더마led마스크 프라엘풀패키지 티몬 티몬티비온 에이텍씨앤 리그램이벤트 엘지프라엘 엘지프라엘더마led마스크 lg 피부관리 화이트닝 led마스크 led마스크효과 led마스크 k뷰티 뷰투버 화장품추천 피부재생 코어리프팅 주름개선 아이크림추천 클렌징 블루투스스피커 lg블루투스스피커,1
13,    marieclairekorea EVENT 마리이벤트 LED마스크라고 다 같을까요 국내유일 FDA class 인가를 받은 LG프라엘의 빛은 다릅니다 빛이 다른 피부 LG프라엘 이제 프라엘로 속부터 탄탄하고 화사하게 차원이 다른 광채피부 를 완성해보세요 지금 이 게시글을 빛이다른프라엘 LED마스크 와 함께 리그램하고 사용 기대평과 함께 참여완료 댓글을 달아주세요 추첨을 통해 LG프라엘 신제품 초음파클렌저를 증정합니다 댓글로 친구 소환하면 당첨확률 UP 이벤트 기간 5월 13일월 5월 19일일 당첨자 발표 5월 24일금 개별 연락 DM 당첨자 경품 LG프라엘 초음파클렌저1명 1인2매 영화상품권 5명 LGPraL 엘지프라엘 더마LED마스크 초음파클렌저 피부홈케어 이나영마스크 뷰티홈케어 뷰티디바이스 프라엘 FDA인가 regra,1
14,    lgpral 2nd EVENT 코어탄력을 세우는 LG프라엘 공식판매처 알로이비즈 입니다 3월 스페셜 이벤트 이 게시글에 댓글과 함께 친구를 태그 해주세요 추첨을 통해 프라엘 듀얼모션클렌저 레꼴뜨 미니믹서기솔렌 메디힐 마스크팩을 선물로 드립니다 참여방법 lgpral 팔로우 꾸욱 이벤트 게시글 좋아요 누르고 친구 태그와 함께 댓글 남기기 리그램 하신 후에 엘지프라엘 알로이비즈 프라엘 lg프라엘 이벤트 인스타이벤트 선물이벤트 선물증정 등 해시태그 달기 Tip 지인 태그 여러명 하시면 당첨확률 UP 증정선물 프라엘 듀얼모션클렌저 1명 색상랜덤 레꼴뜨 미니믹서기 솔렌 2명 색상랜덤 메디힐 마스크팩 10매 8명 종류랜덤 이벤트 기간 321329 당첨자 발표 48 월 당첨자 수 11명 선물 증정은 당첨자 발표 후 다음날 발송해 드립니다 궁금하신 점은 언제든지 DM으로 문의 주세요 2019년엔프라엘로더욱아름다워지세요 LG프라엘 풀세트하나면 내일더예쁨예약 프라엘 엘지프라엘 lg프라엘 led마스크 프라엘마스크 피부관리 lg프라엘더마led마스크 lg프라엘마스크 엘지프라엘더마led마스크 이나영마스크 이나영 뷰티디바이스 선물추천 리그램이벤트 리그램 경품이벤트,1
15,    allurekorea EVENT 얼루어 X LG프라엘 LG프라엘의 LED빛이 다른 이유는 무엇일까요 국내유일 FDA class 인가를 받아 안전성과 효능을 입증 받았기 때문이죠 하루 단 9분이면 120개의 LED가 탄력 과 톤업 을 동시에 프라엘의 LED빛을 경험해보고 싶다면 본 게시물을 빛이다른프라엘 LED마스크 와 함께 리그램하고 기대평을 댓글을 달아주세요 총 5분께 영화예매권을 선물할게요 참여완료 댓글에서 친구를 태그하면 당첨 확률 UP 이벤트 기간 5월 13일월 5월 19일일 당첨자 발표 5월 24일금 개별 연락 DM 당첨자 경품 영화상품권 1인 2매 5명 LGPraL 엘지프라엘 더마LED마스크 피부홈케어 이나영마스크 뷰티홈케어 뷰티디바이스 프라엘 FDA인가 regra,1
16,    여러 클렌징도구기계 써봤는데 요거 느무 좋다   아 잇치치약도 굿       프라엘초음파클렌저 프라엘 클렌징기계 써모슈티컬 잇치,0
17,    갑자기 피부관리 뭘로해 물어봐서 안해 했더니 짜잔 것도 무려 5종세트 뜨헉 개죠아 개신남   thank you so much     사진찍을라고 호텔까지 낑낑대며 들고감          나도이제LED마스크써보는거냐   LG프라엘 프라엘 선물스타그램 자랑스타그램,0
18,  나의 뷰킷리스트 장난으로 적은 진동 클렌저로 온 몸 다 씻기   그런데 그런데 당첨 더군다나 그 유명한 프라엘 대박이드아 자 이제 온 몸을 씻어보까              겟잇뷰티 감사합니다   겟잇뷰티 뷰킷리스트 당첨 대박 선물 프라엘 듀얼모션클렌져 진동클렌저 뷰티템 코덕 좋아요,0
19,  집에 있을 때는 그냥 한없이 부시시 쉬는 날은 무조건 민낯 민낯 고급진 음성 프라엘 최고최고 자 이제 관리를 해주렴   LG 프라엘 프라엘led마스크 skincare skin beauty beautycare 피부관리 민낯 쌩얼 잠옷 부시시 늦잠 홈케어 셀프케어 셀프관리 뷰티 뷰티기기 뷰티디바이스 동영상 동영상그램 얼굴그램 얼스타그램 얼태기 자연인 원시인 자연인이다 애착인형 시선강탈,0
20,  자자 예뻐져볼까   LG 프라엘 lg프라엘 갈바닉 리프팅 탄력 클렌징 기기 뷰티디바이스 부자 같이예뻐져요 face kbeauty 덥다,0
21,  날씨 진짜 이러기야 흥 그나저나 난리났어요 저 오늘 티몬 티비온에서 프라엘 역대 최저가로 방송해요 음 그동안 정은아 언제 사야해 물어보셨던 분들 또 프라엘 언제 방송해 물어보셨던 지인들 진짜 내가 방송하는거 피드 잘 안올리는데 올리는 이유는 솔직히 내 지인들 못살까봐 마음이 바쁨 조급함 오늘 22시입니다 티몬으로 아웅 역대 최저가 한정수량 늦으면 못산다구요 심지어 신세계 상품권까지 이건사야해 autumnmuz k jinae 저 오늘 영혼까지 팔거예요 티몬 티비온 라이브 초리언니 프라엘 lg프라엘 LG 진심 진짜 최저가 득템 방송 신세계백화점 상품권 오늘은너다 오늘은사야해 운전 셀피존 셀스타그램 셀카 selfie ootd 트렌치코트 웨이브 뽀글머리 화요일 tuesday 22 바쁨,0
22,  근로자의 날 이 시간까지 열일 음 괜차나염 나는 노동자니까 나는 행복하니까 나는 뿌듯하니까 안니영 오늘 열일하신 모든 분들 홧팅 근로자의날 근로자 노동자 5월1일 퍼스트데이 스튜디오 셀카 셀피 동영상 셀카투척 열일 주황 오렌지 신난다그램 화이팅 3000 수요일 신상 노랑귀걸이 마카롱 크리스피도넛 힘내자 뷰티 beauty 알라뷰 초리언니 lg 프라엘 이나영 풀패키지,0
23,  대놓고 자랑스타그램 정말 마약같은 직업 좋은 사람들과 함께 하는 즐겁고 행복한 방송 믿어주는 눈빛 함께라고 느끼게 해주는 행동 하나하나 마음 그래서 더 잘 해내고 싶어지는 힝 늦은 시간 끝나도 추가 연장 방송으로 퇴근이 늦어져도 이런 문자 한통이면 바랄게 머 더있어요 두 말할 필요없이 초초 함께라면 무서울게 없는 내사랑 autumnmuz PD님 대박 조건 가격 만들어서 영혼까지 팔게하신 k jinae MD님 정은님 예쁘세요 얘기해주는 거짓말해주는 훈남 꽃미남 뷰티 꿈나무 newnadool PD님 팟짱님 그리고 끼돌이 열정쟁이 괜히 마음이 가는 늘 함께 하고픈 riccoshow 그 외 늦은 시간까지 고생하며 함께한 스텝들 중 인스타하는 hereistheki 모두 넘나템테이션 캡쳐타임 캡쳐사진 감사합니당 티몬 티비온 티비온라이브 초리언니 캡쳐사진 LG프라엘 프라엘 이나영 led마스크 방송 라이브 매럭 좋은사람들 시너지 윈윈 좋은기운 열심히하고싶어 잘하고싶어 바랄게뭐더있어 행복해 일스타그램 잡스타그램 피로야가라 최고매출 기록 자랑 힘내,0
24,  깨알 방정 초리언니 오늘은 토끼 언니    왕눈이피디 서현진 지은선배님과 오늘도 대박 프라엘 두분 알라뷰   프라엘 프라엘led마스크 프라엘토탈리프트업케어 프라엘풀패키지 대박 역대가 초특가 피부 피부관리 홈케어 skincare 예뻐지는공간 beautycare 피부미인 원시인 원숄더 레드원피스 알라뷰 행복해요 고마워요,0
25, 멋쨍이 보리보리쌀 효과있으면 넥케어두 총안든강도 장비빨 lg 프라엘 플러스 프라엘플러스5종세트 신상 good 고마워 기분좋아 ,0
26, 홈 스킨케어가 대세 소중한 내 피부 스마트하게 관리하세요 하이마트 도동점에서 만나보세요 도동 가전제품 No 1 하이마트 도동점 공식인스타로 놀러오세요 himartdodong 문의전화는 0557626200 하이마트도동점 롯데하이마트 노트북추천 그램노트북 텔레비전 건조기추천 선팔 안마의자추천 안마의자체험 다이슨 밥솥 맞팔 에어드레서 스타일러 드럼세탁기 통돌이 dailyxfeed 최저가판매 진주시 주방가전 인기템 핫템 갤노트10 갤노트10플러스 갤럭시노트10 갤럭시노트10플러스 진주맘 프라엘 셀리턴마스크 led마스크,1
