,text,label
0,온도차 무엇##19#############좋반######램#반려인맞팔#데일리#인친#협찬환영#견스타그램#좋아요반사#좋아요테러#데이트#happydog#벚꽃놀이,0
1,396문센가서 꼬치파는 아주머니룩ㅋㅋ#돌아기 #육아스타그램 #팔로우 #팔로우해요 #팔로우환영 #아기모델 #아기모델모집 #아기모델지원 #베이비모델 #협찬환영,0
2,#집밥스타그램 닭갈비# # #  #fff #서울데이트코스 #ff #  # # # # # #  ## # # # # ###  ## #,0
3,진심 바다 너무 보러 가고 싶은 걸,0
4,#제품무료제공 #제품제공 DR다룸 수딩 바디 워시  베리어 바디 로션DR다룸 제품 2종을 써봤어요 바디워시부터 바디로션까지 두 제품 다 너무 순하고 자극이 없는 제품이였어요 향이 무향이라서 안심하고 사용할 수 있었어요 하지만 저는 향이 없으면 그만큼 제품이 좋아야한다고 생각해요 그래서 의심하면서 써봤는데 웬걸 둘 다 넘 좋더라구요수딩 바디워시는 수딩 젤 제형으로 쫀쫀한 제형이였어요 그만큼 거품도 잘 났고 무겁지도 가볍지도 않은 촉촉하게 깨끗이 세정됐어요베리어 바디 로션은 진짜 진짜 더더 맘에 들었는데요 그 이유는 수분크림을 몸에 바르는 것 처럼 제형이 가벼웠어요 촉촉하면서도 가볍게 마무리를 해주었고 바른 후 끈적거림이 전혀 없어서 바디에 바르고 끈적거려서 손을 다시 씻는 그런 불편한 점이 없었어요 보습력도 꽤 오래 지속돼서 아이부터 어른까지 순한 로션 찾고 있다면 한번 써보셨으면 좋겠어요drcosmeticsofficial #15그램 #15그램뷰티 #15그래머 #온가족보습장벽 #국민보습로션 #알러젠프리 #DR다룸 #수딩바디워시 #베리어바디로션 #바디워시 #바디로션 #아이용품추천 #순한바디워시 #순한바디로션 #순한화장품 #코덕 #코스메틱 #코덕맞팔 #코덕소통 #좋아요 #좋반 #좋아요반사 #like #like4likes #likeforlikes #follow #협찬환영 #협찬디엠,0
5,멀보냐옹,0
6,한껏취하기#교동,0
7,꽃내음 킁카킁카,0
8,#02 #성인 #대학생 #20살 #친구들 #패션 #인스타그램 #운동 #운동하는남자 #키작남 #마스크 #협찬환영 #팔로우환영 #좋아요환영 #댓글환영 #DM환영 #모두다환영 #인스타그램또 양궁하고 싶다 같이 갈 사람이 없눼,0
9,iTOO라는 앱에서 자신의 스타일을 공유해보세요 저도 막 다운 받아서 데일리룩 폭풍 업로드 중 이벤트도 참여해서 선물 받아가세요들 #아이투의봄 #아이투에봄을담아봄 #아이투이벤트 #아이투이벤트참여 #아이투이벤트침여 itookoreaofficial 브걸 단발좌와 최유정이 입은 맨투맨 나도 입어봄 #마크엠 #마크엠후드,0
10,기엽따찐짜루##19#############좋반######램#반려인맞팔#데일리#인친#협찬환영#견스타그램#좋아요반사#좋아요테러#데이트#happydog#벚꽃축제,0
11,# #독후활동노랑병원갔다 돌아온 남편 손에 들려있던 #개나리꽃  우주가 태어나 처음본 개나리꽃 얼마전에 본 꽃 책과 노란색과 관련된 책들을 모아모아 함께 놀기처음 보자마자 꽃을 뜯어버리고ㅋ 그걸 노을이는 먹고 뜯어진 꽃을 물에 넣어서 아에 참방거리며 가지고 놀게 했다 하얀 그릇에 넣어서 노란색이 더 환하게 잘 보이도록했다 확실히 여러가지 새로운걸 해주면 눈이 더 반짝반짝오늘도 잘 놀았습니다,0
12,솔직히 단발 조금 후회해,0
13,#협찬 yummyearthkorea #야미얼스 #유기농야미얼스 유기농 비타민C 막대사탕저희 가족이 유일하게 함께 잘 먹고 있는 막대사탕이예요서로 TV 보며 같이 먹고있으면 얼마나 웃긴지화목 그자체로 만들어주는 비타민C 막대사탕유기농 사탕 브랜드 1위인 야미얼스예요종류도 4가지로 맛도 다양해서 너무 좋아요하루 두개면 비타민C 권장량으로 되어 먹기 좋네요즐기면서 맛잇게 먹을 수 있어서 만족하구있어용과일즙과 채소즙으로 맛을 낸 유기농중에 유기농 사탕근데도 시중에 파는 사탕처럼 너무 달콤해요모든 인증을 받아서 믿고 먹을 수 있는 온 가족 사탕비타민이 듬뿍 들어가서 면연력이 쑥 쑥 올라가요야미얼스 유기농 비타민C 막대사탕온 가족이 함께 즐기며 면연력도 길러보아요#과일사탕 #막대사탕 #유기농간식 #비타민C #비타민씨 #아기간식 #면역력증진 #신상품나왔을땐 #08L#협찬#협찬디엠#협찬문의#협찬환영,0
14,구운 두부유부초밥 만들기재료유부초밥키트 곤약밥 두부100g 달걀만드는 방법 면보를 이용하여 두부의 물기를 제거해주세요 달걀1개를 풀어서 스크램블을 만들어줘요 두부와 곤약밥은 팬에 한번 볶아서 물기를 완전히 제거해주세요 모든 재료를 한 곳에 담아 유부초밥키트에 들어있는 조미가루도 함께 넣어주고 오늘은 단촛물도 넣어줬어요 보통은 단촛물은 넣지 않는 편이랍니다 골고루 섞어주세요 유부주머니에 섞은 재료를 이쁘게 담아줘요 마지막으로 에프에 180도 앞뒤로 5분씩 구워주면 완성유부초밥 그냥 먹을때 질척거리는 식감을 안좋아해서 한번 구워봤는데 완전 맛있는거에요 고소함맛도 두배인친님들도 내일 점심은 에프에구운 두부유부초밥 한번 먹어보세용,0
15,#02 #20 #대학생 #대학 #봄 #행복해 #또만나 #좋아요 #맞팔 #팔로우 #팔로워 #디엠 #협찬 #협찬환영,0
16,D157꼬꼬맘 집착녀 한도아진짜 볼살 흘러넘쳐서받아줘야만 할꺼같아요즘은 엄마도 애착인지다른사람한테 안겨있을때도꼬꼬맘 쳐다보듯이 계속 쳐다보고이리와 하면 팔을 내밀어서 안긴다오늘도 나가려 했으나 미세먼지 최악이라 못나갔는데황사는 지속된다고 한다집에만 있으니 둘다 답답 짜증수요일은 나갈수있기를마지막사진은엄마를 위한 억지미소꼬꼬맘협찬 junelove1019 도아에게도 찐협찬왔으면,0
17,봄 느낌 물씬 나는 화사한 컬러감의 스트링 스커트 원단도 바스락바스락 아우터 소재감으로 진짜 엄청 고급스러워오 ㅎㅎㅎ#야근꿀잼,0
18, 영후 첫돌촬영돌잡이에 신기한 물건들에 넘 집중한 나머지웃지도않구 보지두않구 표정근엄맘에드는 사진없지만 기념으로 남기기판사봉을 들고있지만 돈도 들었다가 마이크도 들었다가 붓도 들었다가 이것저것 다들었다놨다 다집어봄좋은거 너 다 해진짜 돌잔치때 제대로 돌잡이하자 이건 연습겜318days#돌촬영 #첫돌 #돌준비 #돌준맘 #아기한복 #10 # # # # # # # # # # # # # #젊줌마 # #육아템 # # #육아맞팔 #육아스타그램 # # # #,0
19,#이쁜척 흠 예술은 정형화되지 않은게 더 매력적인듯#아비시니안 #러시안블루  #냥이 #냥집사 #천재묘 #훈련 #집사 #고양이그램 #neko #반려묘 #반려동물 #abyssinian #abyssiniancats #russianblue # # # # #냥스타그램 #catstagram # # #dm #냥이협찬 #협찬환영,0
20,현타# #04 # # # # # # # # # # # #협찬환영 #likeforfollow #followforfollowback #follow4like # # # # #ootd # # #갬성사진 #갬성피드,0
