,text,label
0,#광고 배우 이지아가 얼루어 인터뷰에서 언급한 촬영장 필수템  심수련 톤업크림 저도 한 번 써봤는데요요 며칠 피부화장을 9wishesofficial 톤업크림으로만 했는데 촉촉하게 발리면서 피부에 착 밀착되어 마스크에 묻어남없이 하루종일 깔끔하게 유지되었어요  우리 함께 답답한 파데 대신 가벼운 톤업크림으로 피부를 숨쉬게 해줍시다  #나인위시스 #톤업맛집 #프리미엄톤업크림 #톤업크림추천 #톤업크림추천템 #영양톤업크림 #심수련톤업크림 #AD,1
1,#광고 퍼퓸스프레이 향기로워 #openthescent,1
2,#광고여자들은 빵 베이커리 정말 좋아하죠다양한 종류의 베이킹세상 단 하나뿐인 디자인의 베이킹신선한 재료로 건강을 생각한 베이킹재료를 아끼지 않는 푸짐한 베이킹입 뿐만 아니라 눈도 즐거운 베이킹매일 끊임없는 메뉴 개발로 다른곳과는 차별화된 특별한 메뉴구성kikizz#키키네빵집 #베이킹 #홈베이킹 #홈카페 #baking #homebaking #homecafe #쿠킹스타그램 #베이킹스타그램 #요리 #요리스타그램 #빵스타그램 #빵순이 #카페스타그램 #03 #파티시에 #음식스타그램 #음식사진#디저트,1
3,저자극보다 안전한 무자극 마스크팩 #협찬 #광고 #트루비 #TRUBE #헬프미마스크팩 #마스크팩 #스킨케어 #민감성피부 #건성피부 #무자극마스크팩 #마스크팩추천 #건성피부추천마스크팩 #전성분ewg안심등급  #민감성패널테스트완료 #dryskinmask,1
4,#더퓨어 트리플 베리어 더마 카밍 바디로션 thepureofficial   p r  triple barrier derma calming body lotion #비건 뷰티에 눈뜨다착하게 건강하게#EVE비건#저자극바디로션#광고#땡큐그램#바디로션#medience#더마#비건#ns#발효#보습#진정##vegan#3중장벽#무향#Ven#로션#instagood #instadaily#instamood,1
5,#광고 지난번 제품 섭취 후 지금까지 꾸준히 섭취중인 #정관장화애락이너제틱일상생활에서도 스틱 형태로 1루에 2포씩쉽고 간편하게 먹기 편해서 챙겨다니면서 먹고 있어요 등산을 갈때에도 주머니에 쏙함께 등산하는 친구에게도 나누어 주었는데젤리형태라 맛있다고 좋아하더라구요나라에서 면역력 기능성을 인정받은 홍삼과 식이섬유가 주원료라 둘 다 함께 섭취할 수 있는 화애락 이너제틱면역력 관리 화애락과 함께 챙겨보시는것이 어떨까요제조원주한국인삼공사 #정관장 #정관장화애락 #정관장화애락이너제틱  #이너제틱 #화애락이너제틱 #식이섬유#건강관리 #건강기능식품 #홍삼젤리스틱 #홍삼젤리,1
6,노보텔에 봄이 활짝설레는 날에 어울리는 벚꽃명소#노보텔앰배서더동대문 #푸드익스체인지 #아시안피스트뷔페,1
7,못난이 브로콜리로 만들어진 비건 선크림이 있다어글리시크 브로컬리 브라이트닝 썬해양 생태계를 해치는 성분은 버리고 유기농 브로콜리 추출물을 45 채워 만들어낸 순딩이 무기자차 선크림이에요못생겼다는 이유만으로 버려지는 수많은 유기농 농산물들어글리시크에서는 이런 못난이 유기농 농산물들을 가지고 성분이 예쁜 뷰티 라이프스타일 케어 제품들을 만든다고 해요 이번에 애드컬리지를 통해 알게되었는데 너무나 좋은 취지를 가지면서도 제품력까지 놓치지 않았기에 앞으로도 쭉 함께하고싶은 브랜드랍니다 어여쁜 톤앤매너는 덤입니다  직접써보고 느낀 브로컬리 브라이트닝 썬의 챠밍포인트 무기자차인데 백탁 현상이 과함없이 딱 예쁜 정도라 충분히 발라도 부담스럽지 않아요 번들거림이 없으면서도 매끄럽게 피부에 잘 붙는 제형이라 마음에 쏙 들어요 아침에 바른 뒤 늦은 오후가 되어도 피부가 답답하지 않고 유분이 많이 올라오지 않아서 좋아요이러니 사랑하지 않을 수 없겠쬬 이 후기는 어글리시크측에서 제품을 제공받아 작성되었습니다#어글리시크 #UGLYCHIC #유기농화장품 #비건화장품 #선크림추천 #비건 #선크림 #못난이과일 #비건뷰티 #라이프케어 #브로콜리 #광고 #4대동 #광고동아리 #애드컬리지 uglychicofficial,1
8,#광고 오늘은 개성있는 컬러로 염색하고 내일은 원래의 머리색으로 돌아올 수 있다면한 번 쯤은 상상해본 적 있을텐데요탈색하기 힘든 학생이나회사 눈치 보느라 탈색은 커녕 염색도 못 하는 직장인들이라면여기를 주목하세요 주말에는 #뷰티퓽 #셀프염색약 으로 소소한 일탈 어떠세요짜고 바르고 말리면 끝 오렌지 블루 레드 그린 컬러로 염색 성공입니다신나는 일 하나도 없는 요즘헤어컬러라도 내 마음대로 바꿔봐요,1
9,outrocoffee  #니콘 #z50 #광고견고한 산성 혹은 움집 같은 외형의 청주 외곽 상당산성 카페 아우트로양 날개를 펼친 듯한 외관부터 널찍한 양쪽 홀과 곡선의 커피바까지 시선을 끄는 장치로 채워졌다익스테리어도 인테리어도 훌륭한 베이커리 카페,1
10,#광고 #협찬#레고비디요 다들 알고 계시나요보면 볼수록 신기레고 음악 sns가 결합된새로운컨셉의 노래가 담긴어플리케이션 기반 신제품이랍니다먼저 파티 라마와 유니콘 DJ 조립하고레고비디요 APP을 활용하여뮤직비디오를 만들어 낼 수 있어요좋아하는 음악 선택하고미니피겨와 비트비츠를 활용하여 스캔하면풍성하고 재미있는 효과를 줄 수 있어서더욱 재미있어요레고 비디요 런칭기념 이벤트도 진행해요기간3월 12일금  3월 31일수1레고비디요와 함께하는 순간을영상과 사진으로 담아주세요별개의 앱 다운로드나 제품 없이도비디요와 함께한 모든 순간을 인증하면이벤트 참여가 가능해요2 레고 비디요와 함께 한 순간을#레고비디요 #레고비디요이벤트해시태그와 함께 개인 SNS에 업로드 하면 된답니다경품도 푸짐하니까 참여해 보세요#레고 #비디요 #레고AR#LEGO #VIDIYO,1
11,공동구매#광고리뉴얼 에버봄 하루비움 32차공구03월 29일월03월 31일수 3일간3월공구 대박사은품 증정오후 4시 이전 주문시 당일발송급찐살 다이어트는먹고싶은거 먹으면서 하는 하루비움으로하루비움도 여러 다이어트 해 본언니가 코칭해야 잘 빼줍니다라비한테는 다 계획이 있다구요먹으면서 체중관리하는 유일무이한 솔루션리뉴얼 되면서 더욱 더 강력해진 하루비움이미 경험해 보신 분들은 다 아시쥬요요가 올 수 밖에 없는 체수분만 빠지는굶어서 하는 다이어트랑은 차원이 달라요3일 진행 최대 4키로 감량1일 진행 최대 2키로 감량 등등짧은 기간인데도 내장지방 체지방율은 줄고체수분은 오히려 UP시켜주는정말 똑똑한 제품이예요올라비 사이트 인바디 후기로 확인 가능하세요안내 해 드리는대로 제대로만 섭취하시면살이 안 빠질 수가 없다구욧리뉴얼 전 상품부터 지금까지공구를 32차나 진행하며 차곡차곡 쌓아온라비의 노하우 탈탈탈 털어서 열심히 도와드릴게요믿고 따라와만 주시면 됩니다일단 시작해보세요굶지 않고 먹으면서 간편하게100 천연 발효 성분이기에 부작용 없음단일 성분이 아닌 여러가지 성분으로오랜기간 섭취해도 내성없이 꾸준한 효과천연 유래 성분으로 임산부 수유부가 드셔도 OK그만큼 안전하고 건강한 다이어트인 하루비움내 몸 내가 아껴줘야죠 인생 마지막 다이어트는 하루비움으로하루만 해도 확 티가나고천연 특허 발효성분으로내 몸의 노폐물이 쫙 빠져나간 느낌 확실한디톡스 다이어트 입니다감량속도 및 효과는 개인차가 있습니다단10일만에노폐물 배출부종완화군살타파라인정리체중조절올라비 홈페이지에서더 자세한 설명과 고객님들의 리얼 찐 후기를확인하세요#올라비#라비마켓#라비뷰티#라비리빙구매는 프로필 링크클릭문의는 카톡플친 올라비 혹은 dm,1
12,아시안 피스트 뷔페 프로모션  올데이 다이닝 푸드 익스체인지로 주중에는 3코스 금토는 뷔페로 진행되는데 80가지 넘는 메뉴 싹 다 먹어보느라 바빠서 사진으로는 반도 못 남기고 알차게 구석구석 클리어 함 방문했던 날은 참치 해체쇼였는데 매주 진행된다는 스폐셜 라이브 코너에 주목#광고 #노보텔앰배서더동대문,1
13,육퇴후 내시간조명등만 켜놓고 노래틀어놓고내일하는 시간전 왜 낮엔 그렇게 집중이 안되고밤에 육퇴후 이시간이 제일 집중될까요미리 미리 하루 할일을 끝내놓음 좋은데매일 이제서야 새로 산 잠옷입고 신나서 셀카까지죄송합니둉암튼 이거 너무 갬성탬으로 추천 또추천입니당오늘은 블루투스켜서 들었어요오LP판 부담스러우신 분들은 그냥 블루투스로도충분해요 음질 넘 좋아유요즘 빠져있는 노래 #태민마이데이모두들 굿나잇오늘도 수고 많앗어용#육퇴후#자유시간,1
14,#리그램  seacretdirectglobal by getmultirepostSeacretdirectglobal 제품 동행 이벤트seacreat 제품 체험단 모집수천년 이스라엘 사해바다의 신비를 간직한 사해소금과 머드 원료에 이스라엘 전문 연구진의 과학과 로레알의 기술력이 더해진최고의 Beauty  Health 케어 브랜드 시크릿3개월의 무료 제품 체험 이벤트 지금 바로 응모하세요응모기간2021 325 330 체험단 활동 기간 3개월 혜택  활동기간 매월 7만원 이상의 제품 증정 모집인원  7명 발표일  4월 1일 개별 DM 발표 활동 계획  제품 소개 제품 체험체험단 본인 인스타그램 피드에 제품홍보 사진 or 동영상 주1회 업데이트 필수 모집 대상 뷰티와 건강에  관심이 많고 인스타그램을 활발히 활동하는  성인 남녀 지원 방법  seacretdirectglobal  팔로우 후 게시물을 공유하여 저희 계정을 태그 해주세요   체험단 필수요건과 주의 사항시크릿 무료 회원 가입체험단 분들의 업데이트 된 사진은 본계정 피드 혹은 스토리에 홍보를 위한 자료로 사용될수 있습니다많은 참여 부탁드립니다 #seacret#seacretdirect #체험단모집 #서포터즈모집 #제품체험단 #제품협찬 #인플루언서 #광고 #소통 #시크릿다이렉트코리아 #시크릿,1
15,#광고 #제품협찬 #넥스바  넥스바 #콤부차 청정 호주에서 온 건강한 #제로칼로리 탄산 음료차를 발효 시켜 만든 발효 음료에 천연 감미료 에리스톨 스테비아 원료로 단맛을 더했습니다No 설탕 인공 감미료 보존료 오늘은 넥스바 코리아에서 제공받은 콤부차를 시음했어요콤부차는 면역력과 위장에 좋다고해서 평소에도 즐겨 마시고 있어요제가 선택한 제품은 믹스드 베리예요달콤한 베리향과 톡 터지는 탄산이 상쾌한 느낌이었어요무설탕 음료지만 단맛을 충분히 느낄 수 있다는 점이 장점인 것 같습니다#키토식단 #다이어트음료 로 추천드리고 싶어요본 후기는 넥스바 코리아에서 제품을 지원받아 작성했습니다,1
16,#제품협찬피부보습까지 생각한 착한 주방세제Dont worry dish soap식세기가 있어도 아끼는 그릇이나 후라이팬은 코팅이 벗겨질까 염려되어 직접 닦는데요닥터시드의 주방세제를 사용해봤어요정말 이름그대로 돈워리에요ㅎㅎ손의 보습까지 생각한 세제로 젖병 과일야채까지 씻을 수 있는 1종 세제라 너무 좋아요고무장갑 안끼고 설거지 할수 있다는게 큰 장점인것 같아요#광고 drseedofficial #주방세제 #1종주방세제 #닥터시드 #요니요니하우스,1
17,# # # # # # # # # # # #stylist #styling # # #   D M,1
18,어글리시크로 뽀대나는 머릿결 되기 일주일째요즘 과부하 걸려서두피에다 삼겹살도 구워먹을 수 있을 것 같았는데#오미자스칼프샴푸 로토닥토닥 위로해주고 안정시켜주었다냄새에 예민한 뿌새끼도솔솔 풍겨오는 향긋한 오미자향에 매료되어버렸다내 본연의 아름다움을 깨워주는 소리 #어글리시크 ASMR거품이 보글보글비건은 반짝반짝내 두피도 반ㅉ아차차머릿결도 반짝반짝제품을 협찬받아 제작된 게시물입니다#UGLYCHIC #유기농화장품 #비건화장품 #샴푸추천 #비건 #샴푸 #못난이과일 #비건뷰티 #라이프케어 #오미자 #광고 #4대동 #광고동아리 #애드컬리지 #ADCOLLEGE #anti,1
19,Ribbon 필터#광고 #소다 #soda #소다카메라,1
20,안녕하세요 스테비츠입니다 지난 주 금일요일동안 진행되었던 동아 건강산업 박람회에서 방울토마토가 완판되었어요기념으로 이번 이벤트는 완판 기념 축하 댓글 이벤트로 찾아왔어요 XD완판 축하 댓글을 남겨주신 분들 중 다섯분을 선정하여 달콤한 스테비츠 방울토마토를 보내드릴게요 이벤트 기간  3월 29일월  4월 4일일 참여방법1 스테비츠stevuits 팔로우게시물 좋아요2 본 게시물을 리그램3 댓글에 한마디  당첨자 발표  4월 5일월당첨자 발표시 개별 DM으로 연락드립니다 참고사항1 체험단에 선정 되신 분들은 예쁜 리뷰 작성 꼬옥 잊지마세요  2 체험단 참여시 작성된 후기나 이미지 등은 홍보자료로 사용될 수 있습니다3 체험 후기에는 무료체험을 통해 제공받은 상품임을 표기 해주셔야 합니다첫 줄 #협찬 #광고 등,1
21,#광고 수분유지를위해 틈틈히 사용하는중 ㅜ순하고 맑고투명하고 자꾸손이가는 스탈 인둣#미멜로디 #미스트#memelody #퍼펙트핏미스트픽서 #픽서 #미스트픽서 #픽서추천 #미스트추천 #메이크업픽서 #메이크업 #뷰티스타그램 #데일리 #기초화장품 #기초화장품추천,1
22,#광고레이캅GO 살균핸디청소기코로나로 인하여 위생에 더욱 신경이 쓰이는 요즘 살균과 청소를 동시에 할 수 있는 레이캅고 살균핸디청소기를 유용하게 사용하는 중 가벼운 무게의 핸디형 청소기지만 흡입력이 강력하면서 비교적 조용해서 매우 만족스럽네 공기청정기급 헤파필터를 사용해서인지 청소기에서 나오는 바람도 불쾌한 냄새가 전혀 없는것도 큰 장점 무엇보다 UV광선을 사용해서 바로바로 살균할 수 있는게 정말 편리한 부분이었다 고양이 둘 강아지 둘 사람 둘 총 여섯이 사는 우리집은 아무래도 위생환경이 취약할 수 밖에 없어서 이렇게 간편하게 살균을 할 수 있는 제품이 절실했는데 레이캅고 살균청소기로 고민을 해결 브러쉬리스 DC 모터를 채택한 것도 중요한 포인트인데 파워도 강력하지만 내구성도 매우 우수한 모터라 오랫동안 성능하락 없이 제품을 사용할 수 있으리라 기대가 되네 제품 패키지가 이동이 편리하고 고급스럽고 편리하게 사용할 수 있는 거치대도 제공되어서 정리정돈이 쉬운것도 굿 흩날리는 고양이털과 모래들을 바로바로 살균하며 청소할 수 있으니 오랫동안 유용하게 잘 쓰겠구나 구매는 여기로 들어가시면 됩니다행사중이라 저렴하게 구입가능httpsbitly3qYYw9Craycopkorea #raycop #레이캅 #레이캅고 #raycopgo #레이캅고챌린지 #라이프업 #라이프업챌린지 #라이프업업 #일상 #핸디청소기 #살균핸디청소기 #UV살균청소기 #소형청소기 #청소 #청소스타그램 #강아지 #고양이,1
23,#AD #협찬 #광고 신발이 다리 모양을 살리는 것 같아요딱 예쁜 굽이라서 불편하지도 않고 뮬이라 진짜 편해요신고 벗기도 편하고 딱 출근룩으로 잘 어울려요#SHOEMARU #슈마루 #OOTD #데일리슈즈 #슈즈맛집 #마약슈즈 #슈마루제작 #넬라뮬슬리퍼 #넬라뮬슬리퍼추천,1
24,#광고#협찬베베루아센텔라4x집중보습크림 이렇게 꾸덕 하면서흡수가 싹 촉촉한 수분감만 남아 있는 크림이라니아토피 심하 첫째가 극찬한 크림이라니첫찌가 아토피가 심해상처가 나거나 할때 크림 바르면 엄청 따가워 하는데베베루아 센텔라 크림은 너무 좋아 하네요전성분 EWG 그린등급 성분ph 55 약산성 포뮬러피부 저자극 테스트완료위 피드는 업체로부터 무료로 제공받아 사용해본 후 남긴 솔직한 리뷰 입니다,1
