,text,label
0,새해 복 많이 받으세요2021년 새해가 밝았습니다2020년은 코로나로 모두가 힘든 시기였는데 2021년은코로나가 싹  없어지고원하는 모든 일이 다 이루어지는 한 해가 되길기원 합니다믿고 항상 구매해 주시는 우리 고객님들  늘 건강하시고 감사합니다777abcd선물포장전국배송총알배송숨오휘후생활정원 다량 샘플 확보#숨방판 #숨방판와우언니 #기초세트 #화장품 #오휘방판와우언니 #숨방문판매 #후방판와우언니 #숨방문판매 #무료배송 #방판 #대박방판#오휘방판 #후방판 #예단세트 #함포장#수분앰플 #수분크림 #숨 #오휘 #후#와우언니,1
1, 카운셀러 채용중  영업 경력자 환영  타사방판카운셀러 보험 학습지 정수기 등등  초보자 대환영 카운셀러 지원방법  사무실 방문 전화 상담 후 사무실 방문 아이를 위한 준비맘 노후를 위한 대비맘 앞날을 위한 미래맘 내삶을 위한 열정맘 전문직을 원하는 모든맘 커리어우먼을 원하는 멋진맘 출산후 직장을 원하는 단절맘 육아와 일을 병행하길 원하는 육아맘 여성이라면 모두 도전하세요도전하는 당신이 아름답습니다COME ON LG 럭셔리뷰티 오휘신세종점 오휘 후 숨 생활정원 VDL 제인패커세종시 새롬중앙로 55 행운빌딩 6층 601호 044 862  3636출처  httpswwwlstorycommobileindexjspq3dbf9ed84409ac56467bd0cf7c0d19a6f67116aa1a76daa3c34a7f3110cfbc4ddcurl2Fbrochurehtml#오휘신세종점 #신세종점 #추천 #첫줄 #오오티디#ootd #일상 #데일리 #건강기능식품 #에센스#스킨로션 #세종 #세종시 #LG #화장품 #럭셔리뷰티 #카운셀러 #모집 #카운셀러모집 #방판 #방문판매 #주부사원 #주부 #주부스타그램 #육아맘 #워킹맘 #cosmetic #커리어우먼 #다이어트 #식품,1
2,새해 첫날은 줌강의로 함께#셀비아 #셀미코 #뷰티 #줄기세포 #줄기세포화장품 #방판 #피부관리 #피부 #줄기세포배양액 #코스메틱 #led마스크 #갈바닉 #바이오포톤 #다이어트 #부업 #새해 #1월1일 #2021 #새해복많이받으세요,1
3,#새해첫택배#수분앰플 선주문 택배 준비 중너무 속상하게 리리코스가 #방판 에서 빠진다니본사에 재고없어요있을 때 구매하세요#20210101 #신축년 #새해 #열일중 #리리코스 #LIRIKOS #헤라 #설화수 #헤라방판 #설화수방판 #평택맘 #천안맘 #오산맘 #리리코스방판 #방판 #방판후기 #대박방판 #방판화장품 #리리코스수분앰플 #수분앰플마지막이벤트 #리리코스고별전,1
4,2021년 새해가 밝았어요신축년 소띠 해 응원합니다다사다난했던 2020년 모두들 수고 많았어요#아모레카운셀러 #카운셀러 #아모레퍼시픽 #헤라 #설화수 #아이오페 #프리메라 #그린팅 #방판 #새해 #2021년 #신축년 #소띠,1
5,주름고민 끝 탄력고민 끝#에이지어웨이 #에스테틱 BX라인#아모레카운셀러 #카운셀러 #아모레퍼시픽 #헤라 #설화수#아이오페 #프리메라 #그린팅 #방판 #에이지어웨이 #주름고민 #탄력고민 #눈가주름 #탄력고정,1
6,올해도 대박나자2021년 새해 복 많이받으세요#셀비아 #셀미코 #뷰티 #줄기세포 #줄기세포화장품 #방판 #피부관리 #피부 #줄기세포배양액 #코스메틱 #led마스크 #갈바닉 #바이오포톤 #다이어트 #전업 #타로 #올해의운세 #대박 #새해복많이받으세요 #해피뉴이어 #2021,1
7,#설화수 #자음생크림인삼 진세노믹스 자생력 UP8년근 황기 황산화 UP대한민국 NO1안티에이징속탄력크림전연령층 만족최고의 효도 선물카톡 문의  httpsopenkakaocomosxAwMVOc#아모레카운셀러 #카운셀러 #아모레퍼시픽 #헤라 #설화수#아이오페 #프리메라 #그린팅 #방판 ####,1
8,#디피헬스그래서빨간알이 어디에 좋아요알면 알수록깜짝 놀라는 빨간알의 효과전국 제품및 사업 문의는프로필 하단 오픈톡 또는 DM#빨간알이빛나#디피셀플러스이빛나#vvipmiraclegroup,1
9,#고객님소중한후기샷#늘감사합니다#덕분에힘납니다#사랑합니다고객님#감사합니다고객님#오휘방판후기 #숨방판후기 #후방판후기 #방판후기 #대박방판후기 #방판 #엘지방판 #오휘 #숨 #더후 #오휘심쿵언니,1
10,#불멍 깊어가는밤조명불멍10년만에전원스위치on나름생각 버리기생각 다듬기#뷰티#뷰티사업가 #방판#사업#계획#2021,1
11,사임당by이혜미한복처럼 셀비아를 세계적으로 알리고 싶은 맘은너나다 똑같겠죠#사임당by이혜미 #한복 #패션한복 #셀비아 #셀미코 #뿌리는화장품 #천연화장품 #피부상담 #피부고민 #한복추천 #줄기세포화장품 #부업 #창업 #투잡 #쓰리잡 #소자본 #방판 #네트웍 #일상 #경복궁 #데일리 #한복대여  #좋반 #좋아요테러 #좋아요반사 #좋아요테러 #좋아요 #맞팔,1
12,                    을 기사로 통해 많이 보았죠     2021 왜케 설레이죠모두모두 응원하고 # #  # #,1
13,단 1번의 시연변화가 보이시나요잠시 진정만 시켜줘도 살만 하시다네요그냥 뿌리기만 하세요#셀비아 #뿌리는화장품 #피부고민 #피부과추천 #알러지 #옻 #목주름 #천연화장품 #일상 #데일리 #시연,1
14,#빨간알코로나로 면역에 가장 예민한 때면역력과 건강에 더욱 집중하는 시기에 필요한건바로 빨간알독점 레시피에뉴질랜드 독점 공급으로 도착하는 빨간알은이제껏 찾던 바로 그 아이템우리나라에 합법 빨간알은 오로지 우리뿐누군가에겐 인생역전의 기회가 될수 있는 일절대 혼자 알아보지 마시고문의 주세요 친절 상담 해드립니다#빨간알이빛나#디피플러스이빛나#VVIPgroup#서울본부이빛나,1
15,#웰런스#화장품추천#우대고객 자동주문 15할인 이런보상 없다  비교해보시고  선택하세요피부에 관심이 많으신분피부개선이 필요하신분웰런스가 궁금하신분추가소득에 관심이 많으신분자영업도 이제 힘들어요무점포 소자본 고수익그런데 코로나 때문에 누군가 만나는게 걱정이 많으신분걱정하지 마시고 랜선으로 만나요온라인 미팅  5회참석시  인핸서세럼 본품 증정#첫줄  #데일리 #맛팔 #선팔  #좋은화장품 #세럼#엠플  #인핸서  #클렌징 #선크림#소통 #데일리  #첫줄  #네트워크  #방판  #후원방판 #보상 #프로모션 #줌마그램 #부업 #억대연봉  #억대연금 #함께성공해요#돈버는도구 #돈버는방법 #좋은화장품  #화장품추천  #피부개선화장품,1
16,우리 똥그리 재미나게 목욕하라고슈아멜 바디 펌핑펌핑거품 맹글다가 엄마도 같이 놀았#인셀덤 #슈아멜거품목욕 #슈아멜바디 #슈아멜 #인셀덤옥정 #인셀덤양주 #방판 #방판화장품 #피부관리 #꿀피 #오일미스트 #뷰티플래너 #예신,1
17, 후 환유동안고 스페셜 에디션 카운셀러 채용중  영업 경력자 환영  타사방판카운셀러 보험 학습지 정수기 등등  초보자 대환영 카운셀러 지원방법  사무실 방문 전화 상담 후 사무실 방문 아이를 위한 준비맘 노후를 위한 대비맘 앞날을 위한 미래맘 내삶을 위한 열정맘 전문직을 원하는 모든맘 커리어우먼을 원하는 멋진맘 출산후 직장을 원하는 단절맘 육아와 일을 병행하길 원하는 육아맘 여성이라면 모두 도전하세요도전하는 당신이 아름답습니다COME ON LG 럭셔리뷰티 오휘신세종점 오휘 후 숨 생활정원 VDL 제인패커세종시 새롬중앙로 55 행운빌딩 6층 601호 044 862  3636출처  httpsecataloglstorycomcontentlstorykrbrochuresharehtmlshareId202101whoo1608788703215#오휘신세종점 #신세종점 #추천 #첫줄 #오오티디#ootd #일상 #데일리 #건강기능식품 #에센스#스킨로션 #세종 #세종시 #LG #화장품 #럭셔리뷰티 #카운셀러 #모집 #카운셀러모집 #방판 #방문판매 #주부사원 #주부 #주부스타그램 #육아맘 #워킹맘 #cosmetic #커리어우먼 #다이어트 #식품,1
18,2021년의 첫째주 월요일신나게 멋지게 즐겁게 시작합니다올해는 AOK와 함께합니다웃을 일만 넘치는세상에 이런 일이세상에 이런 곳이 세상에 이런 분들이함께라 행복합니다#Aok #AokGround #aokcommerce #블루그룹 #R3 #요즘처럼만 #2021년 #화장품 #방판#지금 #시작합니다,1
19,2021년 1월 행사입니다드셔보신분들은  너무 좋다는걸 잘 아시죠금액대 때문에  망설이시는데다른 홍삼제품과 전혀 다릅니다100 자신있게 판매 하는 제품입니다믿고 드셔보세요 부모님 선물 완전 추천입니다해당 되시는분들은 추천드립니다외부환경으로부터 몸을 방어하는 면역력 강화를 원하시는분평소 피로를 자주 느끼고 스트레스가 많은분쉽게 지치지않는 활력과 신체 본연의 생기를  되돌리고자 하는분혈액의 원활한 흐름을 원하시는분생기 있는 건강함을 되돌리고자 하시는분#마산#창원#진해#김해#장유#아모레퍼시픽#설화수#헤라#프리메라#바이탈뷰티#카운셀러#메타그린골드#건강기능식품#명작수#명작천#프로바이오#오메가케어#트루아이#눈건강#몸관리#장건강#피부관리#피부화장품#방판#방문판매#면역력관리#면역력키우기#헤레이스터치,1
20,#전동차#둘째#방판# 담부턴  스노우타이어 끼고 운전해야지ㅋ,1
21,새해 첫 줌미팅오늘 리치그룹에서 주관했어요발표해주신 모든 점장님들 너무 수고하셨습니당그리고 드뎌 우리 빅토리아SM xielvictoria 첫 스피치가 있는날이였어요스케줄이 나오고나서 자긴 이런거 잘못한다고 하더니 왠걸 침착하고 차분하게 너무 잘했다는목소리 하나하나 눈빛하나 진심이 느껴짐난 너를 아니깐물개박수 3초가 아니라 그이상 해주고 싶었어파트너를 통해 이렇게 저또한 한걸음한걸음 배워가나봐요내가먼저 너가먼저가 아닌 서로 기부하고 공유하는 지엘의 문화를 통해서 모든지엘러들이 함께 발전하고있답니다라인이 다르면 서로 경쟁해야 하나요지엘시스템에 합류해보세요초보자도 한번도 스피치를 해본적이 없는 일반 평범한 사람도지엘만의 특별한 시스템속에서 어떻게 성장할수있는지  그가치가 무엇인지 보여드릴게요아직도 B플랜으로 고민하시는 분들 언제든지 문의주세요친절하게 지엘수지가 도움드리겠습니다#지엘빅토리아 #지엘수지 #지엘캐나다 #첫스피치 #지엘시스템 #지엘문화 #지엘회사 #지엘보상#지엘비젼 #b플랜사업 #코로나사업아이템 #비대면사업 #기회는찬스 #캐나다지엘 #리치그룹 #루멘그룹 #하모니직하 #글로벌지엘 #월천부업 #방판 #후방판 #인셀덤 #쏠베라 #뉴스킨 #애터미 #빨간알 #지쿱 #한국화장품도매 #다모여라,1
22,#1월새해스따뚜 #꿀구성기획중#수분앰플  #마지막구성 #설화수#기획서트가득  #허라옴므  #아이오페비타민C#설화수  #가득가득 #브러쉬  #프리메라 #시상도왔네요  #바리바리무거워 #일단반절만들고옴  #보따리보따리ㅋ #방판#꿀방판 #아모레쭈야언시 #명작수21구성아모레쭈야언니 01034571208  hayange7꿀피부되는 톡톡전국택배가능카드무이자할부늘선물같은기획아모레포인트적립,1
23,오늘 지엘에서 저의 첫 스피치 였어요머리로는 긴장하지말고 차근차근 여유롭게 하는거였는데 실제로 입술이 너무 바들바들 목은 너무 마르고 심장은 너므 떨리고 그래도 끝까지 잘 말무리 했어요 저한테 쓰담쓰다 Posted withregram  xielsuji 새해 첫 줌미팅오늘 리치그룹에서 주관했어요발표해주신 모든 점장님들 너무 수고하셨습니당그리고 드뎌 우리 빅토리아SM xielvictoria 첫 스피치가 있는날이였어요스케줄이 나오고나서 자긴 이런거 잘못한다고 하더니 왠걸 침착하고 차분하게 너무 잘했다는목소리 하나하나 눈빛하나 진심이 느껴짐난 너를 아니깐물개박수 3초가 아니라 그이상 해주고 싶었어파트너를 통해 이렇게 저또한 한걸음한걸음 배워가나봐요내가먼저 너가먼저가 아닌 서로 기부하고 공유하는 지엘의 문화를 통해서 모든지엘러들이 함께 발전하고있답니다라인이 다르면 서로 경쟁해야 하나요지엘시스템에 합류해보세요초보자도 한번도 스피치를 해본적이 없는 일반 평범한 사람도지엘만의 특별한 시스템속에서 어떻게 성장할수있는지  그가치가 무엇인지 보여드릴게요아직도 B플랜으로 고민하시는 분들 언제든지 문의주세요친절하게 지엘수지가 도움드리겠습니다#지엘빅토리아 #지엘수지 #지엘캐나다 #첫스피치 #지엘시스템 #지엘문화 #지엘회사 #지엘보상#지엘비젼 #b플랜사업 #코로나사업아이템 #비대면사업 #기회는찬스 #캐나다지엘 #리치그룹 #루멘그룹 #하모니직하 #글로벌지엘 #월천부업 #방판 #후방판 #인셀덤 #쏠베라 #뉴스킨 #애터미 #빨간알 #지쿱 #한국화장품도매 #다모여라,1
24,새해되니 #이오빈 #이오빈에스 문의주는 분이 많으신데요 어디서 매일 배달음식 먹고도 살빠진다고 하던데요 이렇게 물어보시는 분들이 종종 계셔서요ㅠㅠ건강을 위해 마시는 건강음료인데 식단은 어려워도 이왕이면 몸에 좋은 음식을 챙겨먹는게 젤 좋아요아시죠 #집밥 의 힘 ㅋㅋ#이오스타이오빈 은 다이어트약이 아니라 건강관리 다이어트를 도와주는 액상차랍니다이오스타 제품문의 사업문의 dm 카톡dneyppah주세용#이오스타인천송도점  ,1
25,#선팔맞팔#맞팔가요#일상사진#맞팔100#맞팔해여#맞팔하자#선팔맞팔환영#댓글소통#맞팔은댓글#소통해요우리#맞팔#맞팔그램#일상그램#선팔하면맞팔#맞팔은댓글로#일상기록#소통합시다#소소한행복#소통하자#선팔은곧맞팔#소소한일상#일상생활#데일리#소통좋아요#선맞팔#소통#맞팔선팔환영#비아한국지사#방판#,1
26,#2021#1월#정책발표제발 자유롭게 눈을 마주보며눈부처를 느끼며그리 교육하고 싶습니다#코훌쩍 #아침기온#영하#럭셔리뷰티원주세계로점 #시그니처rx그룹 #대박프로모션 #방판#프로만이프로를만든다 #뷰티사업,1
