,text,label
0,#립앤딥 #ripndip,1
1,뱅뱅뱅,1
2,#협찬 #제품제공베베솜 건티슈는 순면 100  화학성분 무첨가이기 때문에  안전하고 깨끗하게 사용할수 있어요물에 적셔있지 않아서 보존제나 방부제가 필요하지 않아 화학성분으로부터 안전해요또한 다양한 구성이 있어서 선택해 쓰기 좋아요 대용량 100매 휴대용 20매 10매 대용량은 지퍼백에 넣고 물을 부어 사용하면 휴대용처럼 쓸수 있어요베베솜 아기 물티슈로 육아의 질이 높아질것 같아요  bebesomofficial #신생아건티슈 #아기건티슈 #건티슈 #물티슈성분 #가제수건 #베베솜 #육아템추천,1
3,,1
4,무려 중3 일카 롯월,1
5,exhibition 2020 ,1
6,DAZED KOREA THE CHOOSE ONE #협찬 Hello sommungchis how are you Somi the pride of Sommungchis presents a photo with a charming face These photos are from my shoot for Dazed Korea featuring Louis Vuitton from their April 2021 issue of the pictorial elegance and striking beauty should definitely the main points to impress of this photoshoot and im here too represent the global brand Louis Vuitton DAZED itself already revealed our latest photos and the interview article that you guys can check on Dazeds homepage Instagram and YouTubeIm so grateful and excited to be the only girl Louis Vuitton liked at the age of 20 I never expected this and I am very grateful to Louis Vuitton a big thank you to the makeup and hairdresser who made this great look and also thanks to everyone who took part in this  photoshoot In DAZED interview I talked about my true character and personality I want to show a new impact in the future through music stage and action So diverse that it wouldnt be strange to come back with any concept After coming to TheBlackLabel I got to know my musical personality little by little I dont know when there will be that many but the next album is sure to be fun I want to break all boundaries to explore the environment to share love with Sommungchis music to all of our sommungchis and everyone with my hard work and talent Get ready please wait and look forward to Somi See you at another photo shoot Mungchis and hope you like the photos taken this time good night and love you Sommungchis,1
7,서울살이 한달 반만에처음으로 집주변 탐험,1
8,패드T레더배색SL,1
9,꺄르륵ㄱ꺄르룩 ,1
10,이건 무야호무조건 맵게#전북대 #경성시장 #낙곱새 #협찬 따라가긔 ㅋㅋㅋ,1
11,보고싶34,1
12,패디T,1
13,#천안 #단대 #단대호수#데일리룩,1
14,데님레더배색sl,1
15,첫 데이트#매우성공적이게 더 좋아서 다시 올립니다,1
16,아이패스와 함께라면 틀려도 힘내서 고칠수있어 #아이패스 #아이패스서포터즈 #아이패스활동 #협찬 #아이패스 #학생홍삼 #정관장 #아이패스체험단2기 #공스타그램,1
17, kwangmi03 깡미 오늘 사진좀 잘찍었엉오늘 차은서 웃다가 아이스크림 떨어뜨렸다ㅏ,1
18,내 꽃 받을사람 ,1
19,,1
20,Jeju Firstday ,1
21,셀린롤업sl,1
22,핀탁부츠컷sl,1
23,캐시미어배색CD,1
24,안개,1
25,오랜만에 한식 처음 먹어보는 메뉴였지만 맛있었다스팸두부도 볶음김치와 싸먹으면 JMT#협찬 #대전이두부야순두부 #맑은순두부찌개 #짬뽕순두부찌개 #순두부맛집,1
26,비 오기전에 꽃 구경 ,1
27,인스타 오랜만,1
28, 밥새우주먹밥jh0526 #8 #9 # # # # # # # #  # # # # # # # # # # #10개월입성 #10개월아기 #자기주도이유식 #스토케트립트랩 #트립트랩챌린지시즌2 #트립트랩일상놀이 #후기이유식 #밥새우주먹밥,1
29,다리아파ㅏ#입생로랑코디 #패션 #패션인스타 #인스타 #like4likes #협찬 #선팔하면맞팔 #맞팔 #선팔 #인스타룩 #20대코디 #옷스타그램 #instafashion #데일리 #좋아요 #좋아요반사,1
30,상수역 꼬꼬네CCo CCo진짜 사장님도 착하시고 영화배우도 다녀간맛집진짜 꼬꼬네에서 포장해서 한강가서 치맥하면 엄청 좋을꺼같다 포장도되고 배달도되니깐개다가맛도 너무맛있고 나는 꼬꼬네 누룽지 마늘간장을 시켰는데 너무 담백하고 고기잡내도없고 진짱 맛있었당사장님 진짜 착하셔서 서비스로 떡볶이도주셨당사장님센스 굿 가게내부인테리어도 인스타핏#협찬 #상수역 #상수역맛집 #상수역치킨집 #상수역치킨 #상수역꼬꼬네#상수역꼬꼬네CCoCCo#ccocconeccocco,1
31,,1
32,냠냠,1
33,#협찬 빙전 포도녹차시작은 포도의 달달함 끝은 녹차의 깊은 풍미가 느껴져 묘한 매력이 있다기존 과일 주스들과 다르게 달지 않아 먹으면 먹을수록 중독되는 음료이다대만산 녹차와 이태리 적포도 백포도 등 고품격 원재료를 사용하여 고급스러운 맛이 난다시원하게 마시면 더욱 더 맛있는 포도녹차를 경험할 수 있다#세븐일레븐 #음료 #녹차 #신상 #코시국 #편스타그램 #편의점 #대만 #대만차 #과일차 #포도 #포도녹차,1
34,,1
35,#협찬 몽디에스 아토로션유수분감 짱 적은 양에도 보습력이 좋다#몽디에스#몽디에스아토로션#유아로션추천#신생아로션#아토피에좋은로션,1
36,요즘 흑백에 빠졌어,1
37,이렇게 행복해도 되나 싶을 정도로 행복했을 때가 언젠지 이제는 기억도 안 나네,1
38,좋았다면 추억이고 나빴다면 경험이다 ,1
39,#200 #럽스타그램 # #댓글 #좋아요 #일상 #일상스타그램 #인스타그램 #오오티디 #인기게시물 #데일리 #좋아요꾹 #협찬 #follow #likeforlikes #likeforfollow #fff #f4f #l4l #lfl #daily #instadaily,1
40,정면 조아#정면샷,1
41,,1
42,오늘자정마감#광고 #협찬베이비 다이퍼 이너 클렌저전세계적으로 판매되고 있는미국 FDA 승인완로 에코서트 유기농인증완료 받은 청결제로신세계 면세점 입점전세계 온라인 최대규모 아마존 브랜드관 오픈유명한 미국 월마트에서도 판매중이랍니다기저귀로 인해 고통 받는 아기엉덩이전용 베이비 다이퍼 이너 클렌저로촉촉하고 뽀송하게 아기 엉덩이를 케어해주세요 공구기간  3월26일28일까지 3일간진행배송  평일기준 35일 구매는 프로필상단 댓글or디엠 주세요#베이비다이퍼이너클렌저 #이너클렌저 #무자극클렌저 #천연클렌저 #청결제#유아전용민감성 #육아필수템 #아기엉덩이 #이너클렌저공구 #공구마켓,1
43,우준공주님엄마의 욕심에 너를 딸로 만들어버렸어우준인 아들로 태어나 참다행이야 우리 우준공주 어떤가요  요때만 할수있는 특권ㅋㅋㅋ저날 대릉원있던 사람들 모두다 우주니에게 시선집중내심 엄마 뿌듯 그러나 엄마아빠는 거렁뱅이우리딸만 이쁘면대어딜가나 사랑받고 살아 우준  ,1
44,20210325,1
45,몇번이고 보고싶지,1
46,언닝 안녕ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ꼭 인사할때는 안하고 가고나서 빠빠이 하냐ㅠㅠ #언니안녕 #뒷태여신 #유아패션,1
47,#협찬 cleanclio #클리어스 #혀클리너솔직히 그닥 효과는 모르겠다원래쓰던게 플라스틱으로 된건데  이건 솔이랑 실리콘재질이라 상대적으로 개운한게 없다 기존쓰던거 그냥 계속 쓰는중#백태제거 #크리오 #텅브러쉬 #혀크리너 #혀백태제거 #구취 #마스크입냄새 #입냄새제거,1
48,안녕하세요 페이톤플래닛입니다#발레리나 감성의 #바디프로필 촬영입니다촬영문의는 디엠주세요 #보엠스튜디오,1
49,안녕하세요 페이톤플래닛입니다 리오 #롤러스케이트 와 빈티지 소품이 준비 되어 있습니다 #바디프로필 촬영 문의는 디엠 주세요#보엠스튜디오,1
50,안녕하세요 페이톤플래닛입니다 #바디프로필 촬영문의는 디엠주세요 #보엠스튜디오,1
51,#협찬 #푸른향기 출판사에서 연락이 오셔서 #10분완성수프도시락 책을 보내주셨다요즘 코로나로 매일 #신랑도시락싸주고 있었는데 #간단한레시피 60여가지가 요안에 쏙 재료도 간단하고 집에 있는 재료들로뚝딱 만들수있는 초간단 #수프요리신랑 도시락 매번 국걱정 했는데 요 아이 정말 많이 도움이 될듯좀 더 잘수 있겠다요#남편도시락 본인 #도시락 #애들도시락 챙기는 분들#요린이 #요리고자 #모여라 이책 한권 있으면 #아침 에 간단하게 뚝딱도시락 쌀수 있어요 #요리고자모여라 #요리고자탈출 #북스타그램 #레시피 #초간단요리#북 #요리 #요리스타그램 #레시피북#요린이탈출 #맘 #주부#아내 #엄마#책스타그램,1
52,레몬,1
53, 비오니 더 심각해진 꼬불꼬불 빠마 아침부터 귀엽고 난리작아보이지만 속이 꽉찬 남자라구요 20210328#시댁#친정#가는날,1
54,웃겨,1
55,,1
56,,1
57,뭐가 바꼈게,1
58,017942,1
59,,1
60,바쁜 일상 속에 내 생각 같은 건 하지 않는지,1
61,rikeikorea 핀 브러쉬로 뽕실뽕실해 지는둥 ,1
62,재업load,1
63,,1
64,점심,1
65,헿짱,1
66,예뻐 머리 잘라써 ㅎㅎ#좋아요 #좋아요반사 #좋아요테러 #좋반 #좋반테러 #선팔 #맞팔 #맞팔해요 #팔로우 #follow #대전 #일상 #일상스타그램 #ootd #다렉 #dm #dm환영 #daily #데일리 #데일리룩 #셀카 #셀피 #셀스타 #셀스타그램 #인친 #인친환영 #협찬 #첫줄 #첫줄반사 #두줄반사,1
67,#협찬 #담양고서이야기 카레 살짝 매콤하구 양도 든든바삭바삭한 돈까스와 새우튀김도 맛있오,1
68,## # # # # #좋아요 #좋반 #좋아요반사 #좋아요테러 #인친 #맞팔 #선팔환영 #협찬 #likees #likeforlikes #likeforfollow #like4likes #likeforlikeback #likeme #instalike #첫줄반사 #fff #f4f #lfl # # #팔로우늘리기 # #likelike,1
69,PositiveChange,1
70,#광고 #협찬 온가족이 사용할 수 있는 바디로션 저자극 제품이라 영유아도 사용이 가능하고 얼굴에도 사용이 가능한 제품 바로 라로슈포제 리피카 레 바디밀크 3월1일부터 올리브영 단독으로 400ml 대용량이 출시되어 온가족이 넉넉하게 바를 수 있는 제품이랍니다 밀키 텍스쳐 타입으로 발림성도 좋고 끈적임은 없는 고보습 바디밀크 온가족용으로 강력 추천합니다 #라로슈포제 #리피카레바디밀크 #피부전문가추천 #온가족바디케어 #올리브영추천템 # 영유아사용가능 #체험단후기 #자세한후기는블로그에,1
71,#카페맛집추천 ,1
72,현타 개온다 이제 그냥 짜져서 공부만 한다 ㅂㅏㅇl,1
73,#협찬 AK LOVER 라이프클럽 제품지원 매일 운동 후 하는 샤워 그래서 피부가 건조해질까 고민이였는데요 촉촉하게 피부 수분도 지켜주면서 향기까지 그윽하게 오래 남는 바디워시를 만났네요 바로 샤워메이트 퍼퓸 드 휩 바디워시2종  머스크 릴리는 요즘 제가 주로 사용하는 바디워시 인데 좋아하는 머스크향이 잔잔하게 오래남아서 매력이예요 와일드 로즈는 화이트 머스크와 샌달우드향이 잘 어우러져서 기분좋은 샤워시간이 된답니다 두가지 모두 포기할수 없는 매력임 특히 샤워볼 가득 쫀쫀한 거품이 와우 휘핑크림같다  옹량도 커서 마음이 든다너 ㅋㅋ 피부저자극은 물론 5중히알루론산과 판테놀 함유  퍼퓸 캡슐라이징 테크놀로지로 향기도 오래오래 아하  샤워메이트 너는 계획이 다 있었구나  #애경#AKLOVER#샤워메이트#퍼퓸드휩#바디워시#머스크릴리#와일드로즈#바디워시추천#향기#화이트머스크#욕실템#샤워템#욕실스타그램#목욕스타그램#향기좋은바디워시#생크림거품#딥클렌징#샤워용품#은은한향#풍성한거품#퍼퓸바디워시#보습바디워시#촉촉한바디워시,1
74, #피엔스튜디오,1
75,운동하고 당충전은 체리진짜 너무 마싯자나 ,1
76,바쁜 일상 ,1
77,오빠랑 연습,1
78,공감선유,1
79,고데기 망해서 묶었징 똥손 살려2021 spring letterfrommoon,1
80,날 좋네,1
81,Our emotion is over,1
82,#협찬 betterfitofficial 베러핏 다이어트 먹으면안먹을때보다 포만감이 느껴져서 식사량도 줄게 되는것 같다먹은 후로 확실히 화장실도 매일 가서 너무 좋음 한미양행  베러핏 다이어트 53년 역사가 있는 한미양행이 개발한 프리미엄 다이어트 건강기능식품식약처 인정 7중 기능성원료 함유 녹차카테킨 판토텐산 셀레늄 알로에전잎 엽산 비타민C 아연체지방은 감소시키고 에너지는 생성하고 항산화 기능까지다이어트  영양섭취까지 고려한 제품차전자피 식이섬유와 프로바이오틱스 등 부원료 14종 함유배변활동이 원활하도록 도움1일 1포#베러핏다이어트 #betterfit #베러핏 #다이어트보조제#diet #다이어트식단 #운동하는여자 #피트니스,1
83,,1
84,사운드바디스킨의 골드링 페이스케어로오랜만에 만난 친구도 놀란 V라인 만들기 성공친구도 부러워 하는  V라인 사운드바디 스킨에서 관리받고V라인 사운드바디에서 만들고가세용순도999 골드링으로 골드링케어 받구 모두들 코로나 이겨내요고객님의 질문은 언제나 소중하게하는 사운드바디스킨더욱 더 최선을 다하는 사운드바디가 되겠습니다골드링케어 No1 에스테틱 브랜드사운드바디 사운드스킨사운드바디 사운드스킨은 매일 방역소독으로 안전합니다,1
85,Machs gut,1
86,골드링 바디 종아리발 관리평소에 많은 업무량으로 인한 하체부종사운드바디스킨에서 골드링을 이용한 관리를 통해 하체부종을 완화시켜드려요골드링 바디로 이쁜 다리 완성 이제는 나도 이쁜 다리직접 체험해보세용고객님의 최상의 만족도를 위해 항상 노력하는사운드바디 스킨이 되겠습니다,1
87,오억년만에 소다,1
88,헨젤과 그 모텔,1
89,요즘 코로나로 인해 장시간 마스크 착용으로 인한  트러블피지 때문에  힘드신분들 사운드바디 스킨 성신여대점에서는 망가진 피부에 활력을 불어 넣어 최상의 피부를 만들어 드릴것입니다철저한 소독 및 환기와  열체크 명부작성을 통해 코로나와 맞서싸우고있습니다사운드바디스킨 성신여대점은 최상의 서비스 제공을 위해 힘쓰겠습니다,1
90, ,1
91,사운드바디 스킨 문래점 케어룸오늘도 코로나 방역과 깨끗하게 청소하며 하루시작 문래점은 항상 고객님의 최상의 케어를 위해 청결을 유지중입니다사운드바디스킨 영등포 문래점의 장점문래역 도보 5분이내영등포 구청역 도보 15분 이내주차시설 완비고객님깨 최상의 관리를 위해 노력하는 사운드바디 스킨이 되겠습니다,1
92,월요일 시작이요,1
93,골드링바디 등관리이제 다가오는 여름 골드링 바디를 통해 S라인 몸매만들어 가세요케어를 받음으로써피로회복뭉친근육완화 바디라인유지 붓기완화등  많은 효과들을 통해피부미인 S라인 몸매 다같이 이루어보아요항상 최상의 서비스를 제공하기 위해노력하는 사운드바디 스킨이 되겠습니다,1
94,주말은 너무 빨리 자나간다,1
