,text,label
0,100 실유저로만 진행하는 실행사제이비애드 입니다리뷰마케팅전문업체N영수증리뷰작업 OKK맵리뷰작업 OK오픈마켓 구매평 OK쿠팡 구매평 OK스마트스토어 구매평 OK스토어찜상품찜 OK모든작업 실행합니다세금계산서 발행가능하며대량구매시 할인됩니다#스마트스토어 #스마트스토어구매평 #스토어팜 #광고 #홍보 #리뷰작업 #리뷰마케팅 #구매평 #리뷰 #구매평작업 #온라인마케팅 #마케팅 #쇼핑몰 #쇼핑몰오픈 #블로그체험단 #체험단 #인스타체험단 #인플루언서 #광고마케팅 #리뷰실행사 #영수증리뷰 #스토어찜 #상품찜 #카카오맵리뷰 #체험단모집,1
1,열무김치 5000원,1
2,#길고양이급식소  우리 회원님들과 오랜시간 고민하고의논하던 것이 현실이 되기까지 얼마안남았어요당장 이것 저것 정리할것이 많겠지만차분히 천천히 #청주 #캣맘 #캣대디 #냥이사랑 #cat#고양이 #고양이일상 #길냥이 #길고양이 #캔따개 #길고양이밥주기 #구조 #입양 #임보 #홍보#사지말고입양하세요 #꽃으로도때리지마세요#소통 #고양이라서다행이야 #길천사 #사랑#길고양이도생명입니다#길고양이도이렇게이쁘답니다,1
3,#재밌는일#즐거운일요즘 니오라 사업에 관심가지시는분들이 꽤 계시네요다른부업도 많지만초기비용이 부담되지요니오라는 20만원대로 가입가능이예요오로지 제품력만으로 입소문이 나는 니오라예뻐지고 건강해지고 돈도벌고니오라와 함께하실래요제품문의사업문의 jieun1984저는 #니오라김지은 입니다#니오라사업#제품력이#홍보#비대면사업#팀워크사업#니오라어필리에이트 #니오라김지은,1
4,잡채 5000원,1
5,김부각  고추부각  각 5000원,1
6,김치볶음 4000원,1
7,계란말니 3000원,1
8,#공동구매 #홍보#더멀팩 2차 공구 오픈했습니다제가 공구 시작 후 처음 진행한 뷰티 제품이라더욱 애착이 가는 브랜드입니다                  ECM   ECM                        ECM                                            FDA       #                          1 1       45      3   8                             3       더멀팩은 31일까지 주문가능하며41 일괄배송 됩니다구매는 프로필 링크 클릭,1
9,경영대학 학우 여러분 안녕하십니까진실되게 다가가고 진실만을 보여주는 2021년도 경영대학 학생회 씨리얼SeeReal입니다개강을 한 지 어느덧 한 달이 다 되어가네요 비록 비대면 수업으로 학교 생활을 온전히 누리지는 못해 아쉬운 마음이지만 그래도 경영인으로서 누릴 수 있는 여러 복지와 혜택을 설명드리고자 합니다저희 씨리얼은 여러분을 위해 두산 휘트니스 센터와 제휴 협약을 진행하게 되었습니다3개월 등록 시 전체 금액의 10를 할인해주는 특별 혜택입니다경상대학교 경영대학 학생임을 증명할 학생증을 통해 제휴 혜택을 받으실 수 있습니다 본 제휴는 졸업생은 해당되지 않는 점 유의해주시기 바랍니다많은 관심 부탁드리며 경영대학 학우분들의 건강한 학교생활을 응원하겠습니다SNS를 소통의 창구라 여기시고 아래의 인스타 페이스북을 통해 궁금한 점 있으시면 물어보시고 앞으로도 많은 관심 부탁 드립니다 httpsinstagramcomgnuseerealigshidyrnyja5puyphttpsmfacebookcomfordream2018,1
